sample_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	experiment	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_subject_id	host_taxid	kdday	kdexperiment	kdtreatment1	kdtreatment2	latitude	longitude	mouse_strain	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	taxon_id	title
S19	2018	SPFCDDay14_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay14_1	10090	14	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S2	2018	SPFCDDay0_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay0_2	10090	0	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S20	2018	SPFCDDay14_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay14_2	10090	14	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S21	2018	SPFCDDay14_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay14_3	10090	14	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S22	2018	SPFKDDay14_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay14_1	10090	14	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S23	2018	SPFKDDay14_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay14_2	10090	14	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S24	2018	SPFKDDay14_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay14_3	10090	14	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S28	2018	SPFCDDay0_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay0_1	10090	0	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S29	2018	SPFCDDay0_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay0_2	10090	0	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S3	2018	SPFCDDay0_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay0_3	10090	0	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S30	2018	SPFCDDay0_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay0_3	10090	0	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S31	2018	SPFKDDay0_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay0_1	10090	0	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S32	2018	SPFKDDay0_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay0_2	10090	0	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S33	2018	SPFKDDay0_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay0_3	10090	0	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S34	2018	SPFCDDay4_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay4_1	10090	4	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S35	2018	SPFCDDay4_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay4_2	10090	4	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S36	2018	SPFCDDay4_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay4_3	10090	4	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S37	2018	SPFKDDay4_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay4_1	10090	4	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S38	2018	SPFKDDay4_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay4_2	10090	4	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S39	2018	SPFKDDay4_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay4_3	10090	4	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S4	2018	SPFKDDay0_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay0_1	10090	0	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S40	2018	SPFCDDay8_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay8_1	10090	8	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S41	2018	SPFCDDay8_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay8_2	10090	8	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S42	2018	SPFCDDay8_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay8_3	10090	8	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S43	2018	SPFKDDay8_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay8_1	10090	8	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S44	2018	SPFKDDay8_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay8_2	10090	8	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S45	2018	SPFKDDay8_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay8_3	10090	8	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S46	2018	SPFCDDay14_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay14_1	10090	14	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S47	2018	SPFCDDay14_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay14_2	10090	14	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S48	2018	SPFCDDay14_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay14_3	10090	14	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S49	2018	SPFKDDay14_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay14_1	10090	14	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S5	2018	SPFKDDay0_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay0_2	10090	0	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S50	2018	SPFKDDay14_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay14_2	10090	14	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S51	2018	SPFKDDay14_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay14_3	10090	14	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S6	2018	SPFKDDay0_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay0_3	10090	0	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S7	2018	SPFCDDay4_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay4_1	10090	4	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S8	2018	SPFCDDay4_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay4_2	10090	4	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
S9	2018	SPFCDDay4_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay4_3	10090	4	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
